,GRANJA,FECHA RECEPCION,t2m_min_weekFR,t2m_max_weekFR,rh2m_mean_WFR,N°INICIAL,PESO  M,GANA M,% DESCARTE SEM 1,DESCARTE SEM 1,FECHA SEM 1,t2m_min_weekF1,t2m_max_weekF1,rh2m_mean_WF1,SALDO AVES SEM 1,PESO M SEM 1,CONS  SEM 1,MORT SEM 1,CONV SEM 1,FECHA SEM 2,t2m_min_weekF2,t2m_max_weekF2,rh2m_mean_WF2,SALDO AVES SEM 2,PESO M SEM 2,CONS  SEM 2,MORT SEM 2,CONV SEM 2,FECHA SEM 3,t2m_min_weekF3,t2m_max_weekF3,rh2m_mean_WF3,SALDO AVES SEM 3,PESO M SEM 3,CONS  SEM 3,MORT SEM 3,CONV SEM 3,FECHA SEM 4,t2m_min_weekF4,t2m_max_weekF4,rh2m_mean_WF4,SALDO AVES SEM 4,PESO M SEM 4,CONS  SEM 4,MORT SEM 4,CONV SEM 4,FECHA SEM 5,t2m_min_weekF5,t2m_max_weekF5,rh2m_mean_WF5,SALDO AVES SEM 5,PESO M SEM 5,CONS  SEM 5,MORT SEM 5,CONV SEM 5,36PESO,36DATE,rh2m_36,t2m_max_36,t2m_min_36,37PESO,37DATE,rh2m_37,t2m_max_37,t2m_min_37,38PESO,38DATE,rh2m_38,t2m_max_38,t2m_min_38,39PESO,39DATE,rh2m_39,t2m_max_39,t2m_min_39,40PESO,40DATE,rh2m_40,t2m_max_40,t2m_min_40,41PESO,41DATE,rh2m_41,t2m_max_41,t2m_min_41,42PESO,42DATE,rh2m_42,t2m_max_42,t2m_min_42,43PESO,43DATE,rh2m_43,t2m_max_43,t2m_min_43,44PESO,44DATE,rh2m_44,t2m_max_44,t2m_min_44,FECHA_FAENA,EDAD,PESO REAL,m.s.n.m
10,SAN PABLO,2020-12-15,13.51,29.16,70.18714285714286,9180.0,0.039,4.615384615384615,0.011840689,110.0,2020-12-22,14.56,28.64,73.58857142857143,9052.0,0.18,0.148,1.3943355119825709,0.82222223,2020-12-22,14.56,28.64,73.58857142857143,9014.0,0.414,0.4503999999999999,1.8082789,1.0879227,2020-12-22,14.56,28.64,73.58857142857143,8981.0,0.78,0.991,2.167755991285403,1.2705128,2020-12-22,14.56,28.64,73.58857142857143,8959.0,1.264,1.7881,2.4074074074074074,1.4146361,2020-12-22,14.56,28.64,73.58857142857143,8937.0,1.84,2.8265,2.647058823529412,1.5361413,1.92,2021-01-20,62.06,29.61,11.43,2.018,2021-01-21,69.62,28.29,16.56,2.108,2021-01-22,71.75,26.11,17.62,2.199,2021-01-23,73.06,28.69,17.6,2.29,2021-01-24,73.19,28.04,16.08,2.38,2021-01-25,69.69,28.37,16.7,2.47,2021-01-26,70.5,28.02,14.97,2.559,2021-01-27,66.56,28.99,15.65,2.648,2021-01-28,63.12,29.1,14.92,2021-01-22,38.0,2.034063664567268,1700
11,VILLA ESTHER,2020-12-15,13.51,29.16,70.18714285714286,47736.0,0.041,4.2682926829268295,0.010119443,488.0,2020-12-22,14.56,28.64,73.58857142857143,47119.0,0.175,0.152,1.2925255572314396,0.8685714,2020-12-22,14.56,28.64,73.58857142857143,46801.0,0.431,0.483,1.9586895,1.1206497,2020-12-22,14.56,28.64,73.58857142857143,46557.0,0.836,1.052,2.4698340874811464,1.2583733,2020-12-22,14.56,28.64,73.58857142857143,46213.0,1.394,1.89,3.1904642198759845,1.3558106,2020-12-22,14.56,28.64,73.58857142857143,46183.0,2.002,2.995,3.253309870956929,1.496004,2.089125,2021-01-20,62.06,29.61,11.43,2.149625,2021-01-21,69.62,28.29,16.56,2.239375,2021-01-22,71.75,26.11,17.62,2.324625,2021-01-23,73.06,28.69,17.6,2.41525,2021-01-24,73.19,28.04,16.08,2.46925,2021-01-25,69.69,28.37,16.7,2.558625,2021-01-26,70.5,28.02,14.97,2.660625,2021-01-27,66.56,28.99,15.65,2.749625,2021-01-28,63.12,29.1,14.92,2021-01-23,39.0,2.259743374326708,940
12,VILLA GLORIA,2020-12-15,13.51,29.16,70.18714285714286,9486.0,0.038,4.7631578947368425,0.014441558,139.0,2020-12-22,14.56,28.64,73.58857142857143,9317.0,0.181,0.1546,1.78157284419144,0.8541436,2020-12-22,14.56,28.64,73.58857142857143,9238.0,0.395,0.461,2.6143792,1.1670886,2020-12-22,14.56,28.64,73.58857142857143,9188.0,0.778,1.0057,3.141471642420409,1.2926735,2020-12-22,14.56,28.64,73.58857142857143,9150.0,1.299,1.8098,3.542061986084757,1.3932256,2020-12-22,14.56,28.64,73.58857142857143,9119.0,1.913,2.8265,3.868859371705671,1.4775223,1.984,2021-01-20,62.06,29.61,11.43,2.0676666666666663,2021-01-21,69.62,28.29,16.56,2.186666666666667,2021-01-22,71.75,26.11,17.62,2.2776666666666667,2021-01-23,73.06,28.69,17.6,2.3686666666666665,2021-01-24,73.19,28.04,16.08,2.6806666666666668,2021-01-25,69.69,28.37,16.7,2.794666666666666,2021-01-26,70.5,28.02,14.97,2.8836666666666666,2021-01-27,66.56,28.99,15.65,2.9726666666666666,2021-01-28,63.12,29.1,14.92,2021-01-26,42.0,2.6792913412071533,1750
13,VILLA ESTHER,2020-12-16,13.51,29.16,70.83,12036.0,0.0378,4.814814814814815,0.0033123551,40.0,2020-12-23,14.56,28.64,74.33,11971.0,0.182,0.153,0.5400465270854105,0.8406593,2020-12-23,14.56,28.64,74.33,11904.0,0.43,0.487,1.0967098,1.1325581,2020-12-23,14.56,28.64,74.33,11862.0,0.864,1.059,1.4456630109670987,1.2256944,2020-12-23,14.56,28.64,74.33,11836.0,1.412,1.895,1.6616816218012629,1.342068,2020-12-23,14.56,28.64,74.33,11795.0,2.036,2.994,2.002326354270522,1.4705305,2.0545,2021-01-21,69.62,28.29,16.56,2.125,2021-01-22,71.75,26.11,17.62,2.217,2021-01-23,73.06,28.69,17.6,2.308,2021-01-24,73.19,28.04,16.08,2.3905000000000003,2021-01-25,69.69,28.37,16.7,2.4855,2021-01-26,70.5,28.02,14.97,2.668,2021-01-27,66.56,28.99,15.65,2.7425,2021-01-28,63.12,29.1,14.92,2.8315,2021-01-29,60.25,28.55,14.35,2021-01-28,43.0,2.8192313652473526,940
14,SAN JOAQUIN,2020-12-16,13.51,29.16,70.83,36006.0,0.039,4.230769230769231,0.0,0.0,2020-12-23,14.56,28.64,74.33,35680.0,0.165,0.14,0.905404654779759,0.8484849,2020-12-23,14.56,28.64,74.33,35450.0,0.393,0.464,1.5441871,1.1806616,2020-12-23,14.56,28.64,74.33,35130.0,0.709,1.019,2.4329278453591066,1.4372356,2020-12-23,14.56,28.64,74.33,34905.0,1.206,1.863,3.0578236960506584,1.5447761,2020-12-23,14.56,28.64,74.33,34542.0,1.874,2.997,4.065989001833028,1.5992529,1.9598,2021-01-21,69.62,28.29,16.56,2.047,2021-01-22,71.75,26.11,17.62,2.1722,2021-01-23,73.06,28.69,17.6,2.265,2021-01-24,73.19,28.04,16.08,2.3578,2021-01-25,69.69,28.37,16.7,2.538,2021-01-26,70.5,28.02,14.97,2.6422,2021-01-27,66.56,28.99,15.65,2.7355,2021-01-28,63.12,29.1,14.92,2.8269,2021-01-29,60.25,28.55,14.35,2021-01-27,42.0,2.7444105593632413,1000
15,SAN JOAQUIN,2020-12-18,13.51,29.16,69.99,39525.0,0.042,4.0,0.00015177962,6.0,2020-12-25,14.56,28.64,75.5442857142857,39205.0,0.168,0.147,0.8096141682479444,0.875,2020-12-25,14.56,28.64,75.5442857142857,38966.0,0.416,0.478,1.4142947,1.1490384,2020-12-25,14.56,28.64,75.5442857142857,38700.0,0.703,1.02,2.087286527514232,1.4509246,2020-12-25,14.56,28.64,75.5442857142857,38493.0,1.196,1.84,2.611005692599621,1.5384616,2020-12-25,14.56,28.64,75.5442857142857,38344.0,1.857,2.955,2.98798228969007,1.5912763,1.9815555555555555,2021-01-23,73.06,28.69,17.6,2.0743333333333336,2021-01-24,73.19,28.04,16.08,2.170555555555556,2021-01-25,69.69,28.37,16.7,2.3326666666666664,2021-01-26,70.5,28.02,14.97,2.4286666666666665,2021-01-27,66.56,28.99,15.65,2.498111111111111,2021-01-28,63.12,29.1,14.92,2.587,2021-01-29,60.25,28.55,14.35,2.678,2021-01-30,63.0,28.52,16.58,2.767,2021-01-31,70.5,28.73,14.85,2021-01-23,36.0,1.92457765519472,1000
16,SAN JOAQUIN,2020-12-19,13.51,29.16,70.41857142857143,4182.0,0.039,4.0256410256410255,0.0009555662,4.0,2020-12-26,14.56,28.64,77.67,4141.0,0.157,0.14,0.9803921568627452,0.89171976,2020-12-26,14.56,28.64,77.67,4113.0,0.396,0.467,1.6499282,1.1792929,2020-12-26,14.56,28.64,77.67,4082.0,0.66,0.946,2.391200382592061,1.4333333,2020-12-26,14.56,28.64,77.67,4056.0,1.139,1.785,3.012912482065997,1.5671642,2020-12-26,14.56,28.64,77.67,4035.0,1.871,2.885,3.5150645624103296,1.5419562,1.964,2021-01-24,73.19,28.04,16.08,2.061,2021-01-25,69.69,28.37,16.7,2.266,2021-01-26,70.5,28.02,14.97,2.212,2021-01-27,66.56,28.99,15.65,2.35,2021-01-28,63.12,29.1,14.92,2.462,2021-01-29,60.25,28.55,14.35,2.557,2021-01-30,63.0,28.52,16.58,2.646,2021-01-31,70.5,28.73,14.85,2.735,2021-02-01,67.5,29.7,16.05,2021-01-30,42.0,2.688648075614212,1000
17,ROBLE,2020-12-19,12.57,28.44,72.10428571428572,40800.0,0.037,3.810810810810811,0.01071723,442.0,2020-12-26,15.01,27.81,79.41142857142857,40283.0,0.141,0.118,1.2671568627450982,0.83687943,2020-12-26,15.01,27.81,79.41142857142857,40059.0,0.379,0.433,1.8161764,1.1424803,2020-12-26,15.01,27.81,79.41142857142857,39861.0,0.819,1.012,2.301470588235294,1.2356533,2020-12-26,15.01,27.81,79.41142857142857,39501.0,1.287,1.823,3.1838235294117645,1.4164724,2020-12-26,15.01,27.81,79.41142857142857,39131.0,1.945,2.923,4.090686274509804,1.5028278,2.01575,2021-01-24,74.12,27.21,15.14,2.14475,2021-01-25,71.94,27.85,15.88,2.222,2021-01-26,71.12,27.55,12.94,2.3120000000000003,2021-01-27,69.31,28.12,14.85,2.498,2021-01-28,67.75,27.94,15.85,2.53,2021-01-29,68.56,27.48,15.81,2.6175,2021-01-30,64.12,28.69,14.37,2.7065,2021-01-31,70.06,28.21,14.11,2.777,2021-02-01,72.75,28.22,14.58,2021-02-01,44.0,2.8314974513856983,1919
18,ROBLE,2020-12-21,15.92,27.81,75.26571428571428,40494.0,0.038,4.078947368421052,0.043463882,1840.0,2020-12-28,14.39,26.42,82.03714285714285,38173.0,0.155,0.123,5.731713340247938,0.7935484,2020-12-28,14.39,26.42,82.03714285714285,37612.0,0.409,0.471,7.1171036,1.1515893,2020-12-28,14.39,26.42,82.03714285714285,36853.0,0.766,1.035,8.991455524275201,1.351175,2020-12-28,14.39,26.42,82.03714285714285,36358.0,1.206,1.825,10.213858843285426,1.513267,2020-12-28,14.39,26.42,82.03714285714285,36196.0,1.918,2.956,10.613918111325136,1.5411887,1.998125,2021-01-26,71.12,27.55,12.94,2.168,2021-01-27,69.31,28.12,14.85,2.1975,2021-01-28,67.75,27.94,15.85,2.3105,2021-01-29,68.56,27.48,15.81,2.4015,2021-01-30,64.12,28.69,14.37,2.4915000000000003,2021-01-31,70.06,28.21,14.11,2.6231875,2021-02-01,72.75,28.22,14.58,2.7173125,2021-02-02,69.06,28.15,15.74,2.8065,2021-02-03,65.88,29.03,15.9,2021-02-02,43.0,2.8393309533719338,1919
19,LUCIERNAGA,2020-12-22,14.56,28.64,73.58857142857143,18360.0,0.038,4.5,0.008103727,150.0,2020-12-29,15.14,27.44,80.15142857142857,18160.0,0.171,0.142,1.0893246187363834,0.83040935,2020-12-29,15.14,27.44,80.15142857142857,18055.0,0.427,0.478,1.6612201,1.1194379,2020-12-29,15.14,27.44,80.15142857142857,18009.0,0.826,1.045,1.911764705882353,1.2651331,2020-12-29,15.14,27.44,80.15142857142857,17963.0,1.326,1.885,2.162309368191721,1.4215686,2020-12-29,15.14,27.44,80.15142857142857,17963.0,1.898,2.969,2.162309368191721,1.5642782,1.9764,2021-01-27,66.56,28.99,15.65,2.0684,2021-01-28,63.12,29.1,14.92,2.236,2021-01-29,60.25,28.55,14.35,2.327,2021-01-30,63.0,28.52,16.58,2.418,2021-01-31,70.5,28.73,14.85,2.5672,2021-02-01,67.5,29.7,16.05,2.6645,2021-02-02,63.38,28.52,16.26,2.7555,2021-02-03,64.25,29.73,16.0,2.8445,2021-02-04,62.31,30.99,16.52,2021-02-02,42.0,2.695359580555955,1150
