DIVIPOLA 2011  (VIVIENDAS, HOGARES Y PERSONAS 2005);Clase;Departamento;Municipio;Nombre centro;Tipo;Manzanas;Viviendas;Hogares;Personas;Grados;Minutos;Segundos;Latitud;grados;minutos;segundos;Longitud;geo_point
542611000;1;NORTE DE SANTANDER;EL ZULIA;EL ZULIA;CM;218.0;2929.0;2752.0;11321.0;-72.0;36.0;17.326899;;7.0;55.0;51.934972476;7.93109304791;-72.6048130275,7.93109304791
440782005;2;LA GUAJIRA;BARRANCAS;OREGANAL VIEJO;IPM;29.0;0.0;0.0;0.0;-72.0;44.0;58.18939116;;10.0;58.0;18.59579544;10.9718321654;-72.7494970531,10.9718321654
542612003;2;NORTE DE SANTANDER;EL ZULIA;LA YE - SAN MIGUEL;IPD;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
542612005;2;NORTE DE SANTANDER;EL ZULIA;LA ALEJANDRA;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
542612006;2;NORTE DE SANTANDER;EL ZULIA;LAS PIEDRAS;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
735632017;2;TOLIMA;PRADO;LA VIRGINIA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688552001;2;SANTANDER;VALLE DE SAN JOSE;SANTA TERESA;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688552004;2;SANTANDER;VALLE DE SAN JOSE;EL CERRO;CAS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
543131000;1;NORTE DE SANTANDER;GRAMALOTE;GRAMALOTE;CM;62.0;852.0;776.0;2934.0;-72.0;47.0;49.68070764;;7.0;53.0;15.544802904;7.88765133414;-72.7971335299,7.88765133414
440782014;2;LA GUAJIRA;BARRANCAS;PATILLA;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
735632021;2;TOLIMA;PRADO;TOMOGO;CP;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
688553000;3;SANTANDER;VALLE DE SAN JOSE;VALLE DE SAN JOSE;R;0.0;969.0;852.0;3304.0;0.0;0.0;0.0;;0.0;0.0;0.0;;
